port,port_id,region,long,lat
Alicante,10101,Spain,0,0
Barcelona,10102,Spain,2.18333,41.38333
Bilbao,10103,Spain,-2.96667,43.25
Cadiz,10104,Spain,-6.29944,36.53361
Figuera,10105,Spain,0,0
Gibraltar,10106,Spain,-5.35,36.13333
La Coruña,10107,Spain,-8.38333,43.36667
Santander,10110,Spain,-3.80444,43.46472
Seville,10111,Spain,-5.98694,37.37722
San Lucar,10112,Spain,-6.35,36.78333
Vigo,10113,Spain,-8.72,42.23333
Puerto Santa Maria,10115,Spain,-6.258837,36.639328
"Spain, port unspecified",10199,Spain,-6.29944,36.53361
Lagos,10202,Portugal,-8.66667,37.1
Lisbon,10203,Portugal,-9.13333,38.71667
Oporto,10204,Portugal,-8.61667,41.15
Ilho do Fayal,10205,Portugal,-28.7,38.56667
Setubal,10206,Portugal,-8.89307,38.5245
"Portugal, port unspecified",10299,Portugal,-9.13333,38.71667
"Great Britain, port unspecified",10399,Great Britain,-0.11667,51.5
Barmouth,10401,England,0,0
Bideford,10402,England,0,0
Birkenhead,10403,England,0,0
Bristol,10404,England,-2.58333,51.45
Brixham,10405,England,0,0
Broadstairs,10406,England,1.45,51.36667
Cawsand,10407,England,0,0
Chepstow,10408,England,0,0
Chester,10409,England,-2.91667,53.2
Colchester,10410,England,0.9,51.88333
Cowes,10411,England,-1.3,50.76667
Dartmouth,10412,England,-3.58333,50.35
Deptford,10413,England,0,0
Dover,10414,England,1.3,51.13333
Exeter,10415,England,-3.53333,50.7
Folkstone,10416,England,1.18333,51.08333
Frodsham,10417,England,0,0
Gainsborough,10418,England,0,0
Greenwich,10419,England,0,0
Guernsey,10420,England,-2.53333,49.45
Harwich,10421,England,0,0
Hull,10422,England,-0.33333,53.71667
Ilfracombe,10423,England,0,0
Ipswich,10424,England,1.16667,52.08333
Isle of Man,10425,England,0,0
Isle of Wight,10426,England,0,0
Jersey,10427,England,0,0
Kendal,10428,England,-2.75,54.31667
King's Lynn,10429,England,0,0
Lancaster,10430,England,-2.83333,54.06667
Lindale,10431,England,0,0
Liverpool,10432,England,-3,53.41667
London,10433,England,-0.11667,51.5
Lyme,10434,England,-2.93333,50.73333
Maryport,10436,England,0,0
Milford Haven,10437,England,-5.03333,51.71667
New Shoreham,10438,England,-0.23333,50.83333
Newcastle upon Tyne,10439,England,-1.61944,54.98806
Newnham,10440,England,0,0
North Shields,10441,England,0,0
Northam,10442,England,0,0
Norwich,10443,England,0,0
Padstowe,10444,England,-4.93333,50.53333
Parkgate,10445,England,-6.1,54.71667
Piel of Foulney,10446,England,0,0
Plymouth,10447,England,-4.13861,50.39639
Poole,10448,England,-2,50.71667
Portsery,10449,England,0,0
Portsmouth,10450,England,-1.08333,50.76667
Poulton,10451,England,-2.98333,53.83333
Preston,10452,England,-2.72,53.76667
Ramsgate,10453,England,0,0
Ravenglass,10454,England,0,0
River Thames,10455,England,0.40642,51.42687
Rochester,10456,England,0,0
Rotherhithe,10457,England,0,0
Rye,10458,England,0,0
Scarborough,10459,England,0,0
Sheerness,10460,England,0,0
Shields,10461,England,0,0
Shoreham,10462,England,-0.23333,50.83333
Sidmouth,10463,England,0,0
Southampton,10464,England,-1.4,50.9
Stockton,10466,England,-1.42,54.58333
Stockwithe,10467,England,0,0
Sunderland,10468,England,0,0
Teignmouth,10469,England,0,0
Topsham,10470,England,-3.45,50.68333
Torbay,10471,England,0,0
Wales,10472,England,-3.68431,52.35734
Whitby,10473,England,-0.63056,54.48667
Whitehaven,10474,England,-3.6,54.55
Workington,10476,England,0,0
Yarmouth,10477,England,-1.5,50.7
Youghal,10478,England,0,0
Conway,10479,England,0,0
Falmouth (Eng.),10480,England,-5.07106,50.15599
Lymehouse (a) Limehouse,10481,England,-0.035233,51.51324
Lympstone,10485,England,-3.429485,50.648194
"England, port unspecified",10499,England,-0.11667,51.5
Airth,10501,Scotland,0,0
Borrowstounness,10502,Scotland,0,0
Dundee,10503,Scotland,0,0
Glasgow,10504,Scotland,-4.25,55.83333
Greenock,10505,Scotland,-4.75,55.93333
Leith,10506,Scotland,-3.16667,55.95
Lough Neagh,10507,Scotland,0,0
Montrose,10508,Scotland,-2.45,56.7
Ross,10509,Scotland,0,0
Saltcoats,10510,Scotland,0,0
"Largo, Fifeshire",10511,Scotland,0,0
Dumfries,10512,Scotland,-3.6051198,55.070859
Point Askaig,10513,Scotland,0,0
Cambletown,10514,Scotland,-5.605374,55.424117
Portpatrick,10515,Scotland,-5.116057,54.84279
Erwin,10516,Scotland,0.0001235,0.0001235
Aberdeen,10517,Scotland,-2.094278,57.149717
Stranraer,10518,Scotland,-5.024055,54.903367
Oban,10519,Scotland,-5.4710467,56.415157
"Scotland, port unspecified",10599,Scotland,-4.01,56.78036
Cork,10601,Ireland,-8.49583,51.89861
Dublin,10602,Ireland,-7.55028,52.57444
Dungarvan,10603,Ireland,0,0
Galway,10604,Ireland,-9.04889,53.27194
Kinsale,10605,Ireland,-8.52331,51.70644
Limerick,10606,Ireland,-8.66652,52.66222
Londonderry,10607,Ireland,0,0
Ringsend,10608,Ireland,-7.59139,54.79472
Strangford,10609,Ireland,0,0
Waterford,10610,Ireland,-7.11,52.25833
Wexford,10611,Ireland,0,0
Belfast,10612,Ireland,-5.930119,54.597285
Coleraine,10613,Ireland,-5.9301199,54.597285
"Ireland, port unspecified",10699,Ireland,0,0
Bayonne,10702,France,-1.48333,43.48333
Bordeaux,10703,France,-0.56667,44.83333
Brest,10704,France,-4.48333,48.4
Calais,10705,France,0,0
Camaret,10706,France,-2.63932,47.7442
Dieppe,10707,France,1.08333,49.93333
Dinard,10708,France,-2.0632,48.63055
Dunkerque,10709,France,2.36667,51.05
Honfleur,10710,France,0.23333,49.41667
Ile de Batz,10711,France,-4.01737,48.74546
La Rochelle,10712,France,-1.15,46.16667
Le Havre,10713,France,0.13333,49.5
Les Sables,10714,France,-1.98232,47.06284
Lorient,10715,France,-3.36667,47.75
Marseille,10716,France,5.4,43.3
Mediterranean coast (France),10717,France,5.4,43.3
Mindin,10718,France,-2.16667,47.26667
Morlaix,10719,France,-3.83333,48.58333
Nantes,10720,France,-1.55,47.21667
Paimboeuf,10721,France,-2.03333,47.28333
Port Louis,10722,France,-3.35587,47.70838
Quimper,10723,France,0,0
Rochefort,10724,France,-0.98333,45.93333
Saint-Brieuc,10725,France,-2.78,48.51667
Saint-Malo,10726,France,-2.01667,48.65
Saint-Nazaire,10727,France,-2.21361,47.27432
Saint-Tropez,10728,France,0,0
Sète,10729,France,3.6966,43.40176
Vannes,10730,France,-2.75,47.66667
"France, port unspecified",10799,France,-1.55,47.21667
Amsterdam,10810,Netherlands,4.91667,52.35
Enkhuizen,10821,Netherlands,5.28,52.71667
Hoorn ,10822,Netherlands,0,0
Zaandam,10827,Netherlands,0,0
Zuider Zee,10828,Netherlands,5.27,52.54562
Texel,10829,Netherlands,4.81991,53.14933
Rotterdam,10830,Netherlands,4.5,51.91667
Dordrecht,10831,Netherlands,4.67,51.8
Maze,10832,Netherlands,4.5986,51.7514
Moerdijk,10833,Netherlands,4.62737,51.70202
Hellevoetsluis,10834,Netherlands,4.13333,51.83333
Zeeland,10840,Netherlands,3.77109,51.49647
Middelburg,10850,Netherlands,3.61,51.5
Vlissingen,10851,Netherlands,3.58333,51.45
Veere,10852,Netherlands,3.66407,51.5451
Zeeland or Middelburg,10853,Netherlands,0.0001235,0.0001235
Groningen,10860,Netherlands,6.55,53.21667
"Netherlands, port unspecified",10899,Netherlands,4.81991,53.14933
København,10901,Denmark,12.58333,55.66667
Husum,10902,Denmark,8.68,55.06667
Helsingør,10903,Denmark,12.6135,56.0363
"Denmark, port unspecified",10999,Denmark,0,0
Pillau,11001,Northern Germany,19.91,54.65222
Elbe,11002,Northern Germany,10,53.55
Emden,11003,Northern Germany,7.21667,53.36667
Hamburg,11004,Northern Germany,10,53.55
Hanover,11005,Northern Germany,9.73201,52.375892
Lübeck,11006,Northern Germany,10.686559,53.865467
Glückstadt,11007,Northern Germany,9.42609,53.791191
Northern Germany - port unspecified,11099,Northern Germany,0.0001235,0.0001235
Antwerp,11101,Belgium,4.41667,51.21667
Flanders,11102,Belgium,0,0
Brugge,11103,Belgium,0.22524,51.2094
"Belgium, port unspecified",11199,Belgium,4.41667,51.21667
Tønsberg,11201,Norway,10.42,59.2858
Bergen,11202,Norway,,
"Norway, port unspecified",11299,Norway,0,0
Göteborg,11301,Sweden,11.97,57.71667
"Sweden, port unspecified",11399,Sweden,0,0
Genova,11401,Italy,0,0
Napoli,11402,Italy,14.25,40.83333
Trieste,11404,Italy,13.78,45.64861
"Italy, port unspecified",11499,Italy,0,0
Kronstadt,11501,Russia,0,0
Odessa,11502,Russia,30.73333,46.46667
"Russia, port unspecified",11599,Russia,0,0
Sardinia,11601,Mediterranean,0,0
"Mediterranean, port unspecified",11699,Mediterranean,0,0
"Latvia, port unspecified",11799,Latvia,21.564707,57.393722
Bristol (RI),20101,Rhode Island,-71.2667,41.6769
Little Compton,20102,Rhode Island,0,0
Newport,20103,Rhode Island,-71.3133,41.49
North Kingston,20104,Rhode Island,-71.46796,41.55401
Providence,20105,Rhode Island,-71.4133,41.8239
Tiverton,20106,Rhode Island,0,0
Warren,20107,Rhode Island,-71.2831,41.7303
Warwick,20108,Rhode Island,-71.4161671,41.7001009
"Rhode Island, port unspecified",20199,Rhode Island,-71.31,41.49
Bath,20201,Maine,0,0
Berwick,20202,Maine,0,0
Biddeford,20203,Maine,0,0
Calais (Maine),20204,Maine,0,0
Camden,20205,Maine,0,0
Freeport,20207,Maine,0,0
Portland,20208,Maine,-70.25665,43.65917
Prospect,20209,Maine,0,0
Richmond,20210,Maine,0,0
Robbinston,20211,Maine,0,0
Rockland,20212,Maine,0,0
Sheepscutt River,20213,Maine,-69.6884,43.90509
Wiscasset,20214,Maine,0,0
Kittery Point,20215,Maine,-70.70783,43.083422
Orrington,20216,Maine,-68.790463,44.72021
Penobscot,20217,Maine,-68.711139,44.46452
"Maine, port unspecified",20299,Maine,0,0
Piscataqua,20301,New Hampshire,-70.79333,43.10056
Portsmouth (NH),20302,New Hampshire,-70.7631,43.0717
North Hampton,20303,New Hampshire,-70.77805,42.95718
"New Hampshire, port unspecified",20399,New Hampshire,-70.7631,43.0717
Massachusetts Bay,20401,Massachusetts,-70.50537,41.77422
Amesbury,20402,Massachusetts,-70.93056,42.85833
Arundel,20403,Massachusetts,0,0
Boston,20404,Massachusetts,-71.05947,42.36166
Chatham,20405,Massachusetts,0,0
Cohasset,20406,Massachusetts,0,0
Dighton,20407,Massachusetts,-71.12083,41.81389
Duxbury,20408,Massachusetts,-70.67278,42.04167
Freetown (Mass.),20409,Massachusetts,0,0
Georgetown,20410,Massachusetts,0,0
Hingham,20411,Massachusetts,0,0
Kingston (Mass.),20412,Massachusetts,0,0
Marblehead,20413,Massachusetts,-70.85659,42.50317
Marshfield,20414,Massachusetts,0,0
New Bedford,20415,Massachusetts,-70.93082,41.63768
Newbury,20416,Massachusetts,-70.8778,42.8125
Salem,20417,Massachusetts,-70.8972,42.5194
Salisbury,20418,Massachusetts,0,0
Salfatudas,20419,Massachusetts,0,0
Scituate,20420,Massachusetts,0,0
Swansea,20421,Massachusetts,-71.19028,41.74806
Weymouth,20422,Massachusetts,0,0
Charlestown,20423,Massachusetts,-71.06,42.3778
Newburyport,20424,Massachusetts,-70.866667,42.8
Nantucket,20425,Massachusetts,-70.099459,41.2834704
Plymouth,20426,Massachusetts,-70.6672621,41.9584457
Dartmouth,20427,Massachusetts,-70.9704787,41.6130323
Somerset,20428,Massachusetts,-71.1286194,41.7695425
"Massachusetts, port unspecified",20499,Massachusetts,-71.05947,42.36166
Bridgeport,20501,Connecticut,0,0
Guildford,20502,Connecticut,0,0
Haddam,20503,Connecticut,0,0
New Haven,20504,Connecticut,-72.93,41.3081
New London,20505,Connecticut,-72.1,41.3556
Middletown,20506,Connecticut,-72.64981,41.56269
Hartford,20507,Connecticut,0,0
Fairfield,20508,Connecticut,-73.261261,41.1408363
Killingworth,20509,Connecticut,-72.56456,41.358187
Weathersfield,20510,Connecticut,0.0001235,0.0001235
"Connecticut, port unspecified",20599,Connecticut,0,0
Brookhaven,20601,New York,0,0
Long Island,20602,New York,0,0
Sag Harbor,20603,New York,0,0
New York,20699,New York,-74.00708,40.71458
Wilmington,20701,Delaware,-75.5397878,39.7390721
"Delaware, port unspecified",20799,Delaware,0,0
Delaware River,20801,New Jersey,-75.51972,39.42028
Eastern New Jersey,20802,New Jersey,-74.42643,39.36276
Milwell,20803,New Jersey,0,0
Perth Amboy,20804,New Jersey,-74.26577,40.50645
Wharton,20805,New Jersey,0,0
Burlington,20806,New Jersey,0.0001235,0.0001235
Newark,20807,New Jersey,-74.1723667,40.735657
Cohanzie,20808,New Jersey,-75.298121,39.491169
"New Jersey, port unspecified",20899,New Jersey,0,0
Marcus Hook,20901,Pennsylvania,0,0
Philadelphia,20902,Pennsylvania,-75.1642,39.9522
"Pennsylvania, port unspecified",20999,Pennsylvania,0,0
Annapolis,21001,Maryland,-76.48524,38.94989
Baltimore,21002,Maryland,-76.6125,39.2903
North Potomac,21003,Maryland,-77.02721,38.85216
Oxford,21004,Maryland,-76.2,38.7
Pamunkey,21005,Maryland,-77.20444,37.66917
Patuxent,21006,Maryland,-76.45123,38.30897
Talbot County,21007,Maryland,0,0
Wye River,21008,Maryland,-76.18,38.85825
Cecil County,21009,Maryland,-75.946324,39.57394
Choptank,21010,Maryland,-76.326615,38.634564
Pocomoke,21011,Maryland,-76.407456,39.351002
St. Mary's River,21012,Maryland,-76.539816,38.249979
Londontowne,21013,Maryland,-76.558016,38.93575
"Maryland, port unspecified",21099,Maryland,-76.45123,38.30897
Elizabeth River,21101,Virginia,-76.35637,36.93469
Hampton,21102,Virginia,-76.3456,37.0297
Lower James River,21103,Virginia,-76.38292,36.95002
Norfolk,21104,Virginia,-76.19325,36.93295
Northampton County,21105,Virginia,0,0
Potomac river,21106,Virginia,-76.27,37.91873
Rappahannock,21107,Virginia,-76.38813,37.59826
South Potomac,21108,Virginia,-76.52077,38.10394
Upper James River,21109,Virginia,-77.42742,37.5184
Williamsburg,21110,Virginia,0,0
York River,21111,Virginia,-76.45376,37.2268
Vatt (location undetermined),21112,Virginia,0,0
Accomac,21113,Virginia,-75.665484,37.719574
Urbanna,21114,Virginia,-76.574398,37.63764
Richmond (VA),21115,Virginia,-77.436,37.5407
Hampton Roads,21116,Virginia,-76.297149,37.04803
"Virginia, port unspecified",21199,Virginia,-76.45376,37.2268
Bertie County,21201,North Carolina,0,0
Chowan river,21202,North Carolina,-76.70618,36.24285
New Bern,21203,North Carolina,-77.0441143,35.108493
Hyde County,21204,North Carolina,0,0
Roanoke,21205,North Carolina,-75.6495,35.88368
Beaufort,21206,North Carolina,-76.663819,34.718217
Brunswick,21207,North Carolina,-78.202039,34.02754
Cape Fear,21208,North Carolina,-78.484574,34.724508
Edenton,21209,North Carolina,-76.6077212,36.057938
Wilmington,21210,North Carolina,-77.94471,34.2257255
"North Carolina, port unspecified",21299,North Carolina,-75.6495,35.88368
Beaufort,21301,South Carolina,-80.67,32.43139
Charleston,21302,South Carolina,-79.93554,32.78096
Georgetown,21304,South Carolina,0.0001235,0.0001235
"South Carolina, port unspecified",21399,South Carolina,-79.93554,32.78096
Savannah,21401,Georgia,-81.1,32.0833
Sunbury,21402,Georgia,0,0
Tybee Island,21403,Georgia,-80.84567,32.00021
"Cumberland Island,Georgia",21404,Georgia,81.4484,30.8511
Jekyll Island,21405,Georgia,-81.421653,31.051124
"Georgia, port unspecified",21499,Georgia,-81.1,32.0833
St. Augustine,21501,Florida,-81.3147,29.8944
Pensacola,21502,Florida,-87.1815,30.55812
Amelia Island,21503,Florida,-81.442,30.687
Key West,21504,Florida,-81.78403,24.55917
Indian River,21505,Florida,0.0001235,0.0001235
East Florida,21506,Florida,0.0001235,0.0001235
"Florida, port unspecified",21599,Florida,-81.3147,29.8944
New Orleans,21601,Gulf coast,-90.066667,29.95444
La Balise,21602,Gulf coast,-89.1072,29.1222
Louisiana,21603,Gulf coast,-92.67,29.52468
Biloxi,21604,Gulf coast,-88.94993,30.39195
Mississippi,21605,Gulf coast,-89.28,30.30501
Mobile,21606,Gulf coast,-88.04306,30.69444
Vicksburg (MS),21607,Gulf coast,-90.886714,32.317838
"Gulf Coast, port unspecifed",21699,Gulf coast,-92.67,29.52468
Quebec,21701,Canada,-71.25,46.8
New Brunswick,21702,Canada,-65.2178,46.77556
St. John,21703,Canada,0,0
Newfoundland,21704,Canada,-57.42457,48.34364
Nova Scotia,21705,Canada,-63.87373,44.87737
Halifax,21706,Canada,-63.6,44.65
Mahone Bay,21707,Canada,-64.30758,44.56642
"Roseway, NS",21708,Canada,-65.349747,43.633266
"Canada, port unspecified",21799,Canada,0,0
Smithfield,21801,Kentucky,-85.254735,38.386762
Louisville,21802,Kentucky,-85.666708,38.178077
"Kentucky, port unspecified",21899,Kentucky,-84.27,37.8393
Newport and Boston,21901,Other North America,0,0
Newport and Salem,21902,Other North America,0,0
New England,21903,Other North America,-69.17,44.12283
Carolinas,21904,Other North America,-79.93554,32.78096
"Washington, DC",21906,Virginia,-77.0368707,38.9071923
"USA, location unspecified",21999,Other North America,-79.93554,32.78096
Nashville,22001,Tennessee,-86.812866,36.149937
"Tennessee, port unspecified",22099,Tennessee,-86.5804,35.5175
Woodville,22101,Texas,-94.4155,30.7752
"Texas, port unspecified",22199,Texas,-99.9018,31.9686
Isabela,31102,Hispaniola,-71.25,18.45
Monte Christi,31103,Hispaniola,-71.65,19.86667
Samana,31104,Hispaniola,-69.32,19.21667
San Domingo (a) Santo Domingo,31106,Hispaniola,0,0
Ocoa,31107,Hispaniola,0,0
Nizao,31108,Hispaniola,0,0
Puerto de Plata,31109,Hispaniola,0,0
Isla Saona,31110,Hispaniola,0,0
"Hispaniola, unspecified",31199,Hispaniola,-69.9,18.46667
San Juan,31201,Puerto Rico,-66.10572,18.46633
Ponce,31202,Puerto Rico,-66.6141,18.0111
"Puerto Rico, port unspecified",31299,Puerto Rico,-66.10572,18.46633
Bahia Honda,31301,Cuba,-83.15917,22.90361
Banes,31302,Cuba,-75.71861,20.9625
Cabanas,31303,Cuba,-82.92194,22.97583
Caibarien,31304,Cuba,-79.46694,22.52056
Canasí,31305,Cuba,-81.78139,23.1125
Cardenas,31306,Cuba,-81.20472,23.0375
Cienfuegos,31307,Cuba,-80.43556,22.14611
"Cuba, south coast",31308,Cuba,-75.73811,19.95076
"Cuba, west coast",31309,Cuba,-83.38027,22.91945
Estuary of River Guane,31310,Cuba,-84.08389,22.20056
Guanimar,31311,Cuba,-82.65361,22.68833
Havana,31312,Cuba,-82.36417,23.13194
Isla de Pinas,31313,Cuba,-82.82405,21.68331
"Magari, Manzanillo",31314,Cuba,-77.11667,20.34333
Mariel,31315,Cuba,-82.75361,22.9875
Matanzas,31316,Cuba,-81.5775,23.04111
"Matanzas province, north",31317,Cuba,-81.5775,23.04111
"Matanzas province, south",31318,Cuba,-81.5775,23.04111
Nuevitas,31319,Cuba,-77.26444,21.54528
Puerto Padre,31320,Cuba,-76.60278,21.195
Sagua,31321,Cuba,-80.07556,22.80667
San Juan de los Remedios,31322,Cuba,-79.54583,22.49472
Santiago de Cuba,31323,Cuba,-75.82194,20.02472
Trinidad de Cuba,31324,Cuba,-79.98417,21.80194
Batabanó ,31326,Cuba,0,0
Baracoa,31327,Cuba,0,0
Punta Macurijes,31328,Cuba,-78.486667,21.028056
South Keys,31329,Cuba,0.0001235,0.0001235
Puerto Principe,31330,Cuba,0.0001235,0.0001235
Holguín,31331,Cuba,0.0001235,0.0001235
Bacuranao,31332,Cuba,-82.239824,23.174483
"Cuba, port unspecified",31399,Cuba,-79.221991,22.39915
San Andrés,31401,Other Spanish Caribbean,0.0001235,0.0001235
"Spanish Caribbean, unspecified",31499,Other Spanish Caribbean,-69.9,18.46667
Curaçao,32110,Dutch Caribbean,-68.91667,12.1
Aruba,32120,Dutch Caribbean,-70.03333,12.51667
Bonaire,32130,Dutch Caribbean,-68.5,12.2
St. Maarten,32140,Dutch Caribbean,-63.03333,18.1
Cul de Sac (St. Maarten),32141,Dutch Caribbean,-63.03,18.1
St. Eustatius,32150,Dutch Caribbean,-62.98333,17.46667
Saba,32151,Dutch Caribbean,-63.24919,17.6259
"Dutch Caribbean, colony unspecified",32199,Dutch Caribbean,-68.91667,12.1
Guiana,32201,Dutch Guianas,-55.67599,5.95859
Nova Zeelandia (Wild Coast),32202,Dutch Guianas,-55.67599,5.95859
Essequibo,32230,Dutch Guianas,-58.35479,7.04396
Suriname,32240,Dutch Guianas,-55.67599,5.95859
Paramaribo,32241,Dutch Guianas,-55.16667,5.83333
Berbice,32250,Dutch Guianas,-57.93,6.6713
"Dutch Guianas, colony unspecified",32299,Dutch Guianas,-55.67599,5.95859
Bijsterpan,32301,Other Dutch Americas,0.0001235,0.0001235
"Other Dutch Americas, colony unspecified",32399,Other Dutch Americas,0,0
"Tortola, port unspecified",33299,Tortola,-64.72,18.34732
"Anguilla, port unspecified",33399,Anguilla,-63.05,18.21667
Saint John (Antigua),33401,Antigua,-61.85,17.11667
Barbuda,33402,Other British Caribbean,-61.770729,21.398318
"Antigua, port unspecified",33499,Antigua,-61.85,17.11667
"St. Kitts, port unspecified",33599,St. Kitts,-62.71667,17.3
Newcastle (Nevis),33601,Nevis,-62.58333,17.2
"Nevis, port unspecified",33699,Nevis,-62.58333,17.2
"Montserrat, port unspecified",33799,Montserrat,-62.21667,16.7
Roseau,33801,Dominica,-61.3793554,15.3091676
St. Marc,33802,Dominica,-61.344352,15.219592
"Dominica, port unspecified",33899,Dominica,-61.4,15.3
"St. Lucia, port unspecified",34199,St. Lucia,-61,14
King's Harbour,34201,Barbados,-59.62,13.1
Speightstown,34202,Barbados,-59.637713,13.253123
"Barbados, port unspecified",34299,Barbados,-59.6,13.1
"St. Vincent, port unspecified",34399,St. Vincent,-61.21667,13.13333
"Grenada, port unspecified",34499,Grenada,-61.75,12.05
"Trinidad, port unspecified",34599,Trinidad,-61.51667,10.65
Zion Hill,34601,Tobago,-60.61667,11.23333
"Tobago, port unspecified",34699,Tobago,-60.66667,11.25
Annotto Bay,35101,Jamaica,-76.76667,18.26667
Antonia,35102,Jamaica,-76.46667,18.18333
Black River,35103,Jamaica,-77.85,18.01667
Falmouth (Jam.),35104,Jamaica,-77.65,18.5
Lucea (a) St. Lucea,35105,Jamaica,-78.16667,18.45
Martha Brae,35106,Jamaica,-77.65,18.46667
Montego Bay,35107,Jamaica,-77.91667,18.46667
Morant Bay,35108,Jamaica,-76.42,17.88333
Port Maria,35109,Jamaica,-76.9,18.36667
Port Royal,35110,Jamaica,-76.92,17.9333
Saint Ann's Bay,35111,Jamaica,-77.2,18.43333
Savanna la Mar,35112,Jamaica,-78.13333,18.21667
Spanish Town,35113,Jamaica,-76.95,17.98333
Kingston,35114,Jamaica,-76.8,17.98333
"Jamaica, port unspecified",35199,Jamaica,-76.8,17.98333
New Providence,35201,Bahamas,-77.39683,24.99364
Turk's Island,35202,Bahamas,-71.11667,21.4
Nassau,35203,Bahamas,-77.38108,25.07606
Cat Island,35204,Bahamas,0.0001235,0.0001235
Exuma,35205,Bahamas,-75.969546,23.61926
Heneague,35206,Bahamas,0.0001235,0.0001235
"Bahamas, port unspecified",35299,Bahamas,-78.7,26.53333
Cumingsberg,35301,British Guiana,-58.16667,6.81667
Stabroek,35302,British Guiana,-58.15,6.81667
Demerara,35304,British Guiana,-58.168711,6.810204
Kingston (Demerera),35305,British Guiana,-58.17,6.81667
"British Guina, port unspecified",35399,British Guiana,0.0001235,0.0001235
Mosquito Shore,35401,British Honduras,-83.38333,14.03333
"British Honduras, port unspecified",35499,British Honduras,-88.188611,17.498611
Antigua or Dominica,35502,Other British Caribbean,0,0
Barbados and Jamaica,35503,Other British Caribbean,0,0
Dominica or Jamaica,35504,Other British Caribbean,0,0
Jamaica or St. Kitts,35505,Other British Caribbean,0,0
British Leewards,35507,Other British Caribbean,-63.05,18.21667
Bermuda,35508,Other British Caribbean,-64.78389,32.29417
Hamilton (Bermuda),35509,Other British Caribbean,-64.78389,32.29417
Becquia,35510,Other British Caribbean,-61.227231,13.011706
Grand Caymans,35511,Other British Caribbean,-81.240869,19.32217
Providence Island,35512,Other Spanish Caribbean,-81.372937,13.338761
"British Caribbean, colony unspecified",35599,Other British Caribbean,-76.8,18
Fort-Royale,36101,Martinique,-61.08333,14.6
Saint-Pierre,36102,Martinique,-61.16667,14.73333
"Martinique, port unspecified",36199,Martinique,-61.16667,14.63333
Basse-Terre,36201,Guadaloupe,-61.71667,16
Pointe-à-Pitre,36202,Guadaloupe,-61.51667,16.23333
Marie-Galante,36203,Guadaloupe,-61.26667,15.93333
"Grande-Terre, port unspecified",36204,Guadaloupe,-61.4669,16.2732
"Guadeloupe, port unspecified",36299,Guadaloupe,-61.71667,16
Cayenne,36301,French Guiana,-52.33333,4.93333
Oyapock,36302,French Guiana,-51.8,3.9
"French Guiana, port unspecified",36399,French Guiana,0,0
Tortuga,36401,Saint-Domingue,-72.78667,20.04634
Arcahaie,36402,Saint-Domingue,-72.5125,18.76944
Cap Français,36403,Saint-Domingue,-72.204,19.75
Cayes (Les),36404,Saint-Domingue,-73.75,18.2
Cul-de-Sac,36405,Saint-Domingue,-72.36667,19.06667
Fort Dauphin,36406,Saint-Domingue,-71.83972,19.66778
Jacmel,36407,Saint-Domingue,-72.53472,18.23417
Jérémie,36408,Saint-Domingue,-74.11667,18.65
Léogane,36409,Saint-Domingue,-72.63389,18.51083
Môle Saint Nicolas,36410,Saint-Domingue,-73.38,19.8
Petit-Goâve,36411,Saint-Domingue,-72.86694,18.43139
Port-au-Prince,36412,Saint-Domingue,-72.335,18.53917
Port-de-Paix,36413,Saint-Domingue,-72.83087,19.93276
Saint-Marc,36414,Saint-Domingue,-72.7,19.11667
Île à Vache,36415,Saint-Domingue,-73.6512,18.0694
Cap Tiberon,36416,Saint-Domingue,0.0001235,0.0001235
Gonaïve,36420,Saint-Domingue,72.680158,19.45115
"Saint-Domingue, port unspecified",36499,Saint-Domingue,-72.20417,19.75778
"French Caribbean, colony unspecified",36599,Other French Caribbean,-72.20417,19.75778
St. Croix,37010,Danish West Indies,-64.82,17.77305
St. Thomas,37020,Danish West Indies,-64.94,18.34141
St. John (Virgin Islands),37030,Danish West Indies,-64.7399494,18.3274718
"Spanish Town, British Virgin Islands",37040,Other British Caribbean,-64.430411,18.449853
"Danish West Indies, colony unspecified",37099,Danish West Indies,-64.8,18.02
"Gustavia, St. Barthélemy",38101,St. Barthélemy (Sweden),-62.8317,17.9002
